@RELATION audio_models/svm/svm
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {lie,truth}

@DATA
0.061089,0.008698,2.878373,0.141280,0.173956,0.381096,0.010162,0.053285,-31.913600,2.372617,0.144863,-0.036558,-0.625488,-0.073275,-0.068820,-0.013241,-0.170383,-0.102555,0.009224,-0.098834,0.008433,0.029465,0.007403,0.018000,0.013409,0.018294,0.016425,0.026685,0.003266,0.013194,0.012115,0.019886,0.012923,0.019180,0.044688,0.009538,0.390471,0.061321,0.044811,0.373629,0.007720,0.055568,4.389078,0.951244,0.524293,0.414102,0.504604,0.407089,0.291882,0.308392,0.295398,0.247696,0.217883,0.189602,0.189614,0.023788,0.010302,0.015929,0.017332,0.018850,0.018366,0.024442,0.003951,0.014349,0.013315,0.018657,0.014664,0.009201,lie
0.060462,0.008877,2.847707,0.138295,0.167373,0.400408,0.010339,0.064073,-32.004453,1.986630,0.124771,0.422193,-0.485281,0.171995,0.004567,-0.003903,-0.125049,-0.059170,-0.258449,0.180140,-0.084433,0.012740,0.003553,0.019594,0.024211,0.036739,0.011633,0.027149,0.002507,0.007025,0.018573,0.019288,0.006738,0.021614,0.040201,0.010962,0.468839,0.059308,0.046940,0.351102,0.008734,0.061348,4.763561,0.907259,0.634442,0.408183,0.529152,0.373163,0.295252,0.303493,0.275332,0.268508,0.230853,0.238525,0.199214,0.013631,0.004641,0.019673,0.025961,0.032664,0.012923,0.025422,0.003913,0.008105,0.020914,0.020433,0.008648,0.012006,lie
0.053642,0.011320,2.803896,0.115516,0.153017,0.332116,0.011982,0.066704,-30.086128,2.241423,0.045319,0.065319,-0.455240,-0.109179,0.037160,0.013603,-0.304284,-0.338145,-0.080954,-0.036659,-0.145993,0.029925,0.006280,0.028702,0.020701,0.023708,0.016769,0.018881,0.002880,0.008257,0.013177,0.021573,0.005212,0.021745,0.041954,0.012244,0.476727,0.049027,0.045212,0.352525,0.010063,0.062420,4.560240,1.048454,0.727557,0.490391,0.496577,0.408199,0.361310,0.306414,0.292880,0.268168,0.236009,0.208661,0.214733,0.030555,0.008018,0.028814,0.023433,0.023802,0.017681,0.018761,0.004665,0.009397,0.014214,0.021335,0.007253,0.011878,lie
0.065394,0.004618,2.939638,0.171030,0.192855,0.439534,0.009029,0.047986,-34.706730,1.776807,0.026414,-0.110742,-0.433526,0.360789,-0.203526,-0.092219,-0.204125,0.049677,-0.044794,-0.071163,-0.067233,0.013580,0.007870,0.012658,0.010026,0.031204,0.023391,0.027988,0.004762,0.011584,0.015041,0.012430,0.009062,0.019743,0.029296,0.006129,0.415480,0.057092,0.043591,0.308642,0.007478,0.036172,4.627052,0.881340,0.552189,0.419067,0.403263,0.385702,0.295219,0.275294,0.269452,0.232093,0.206026,0.196191,0.171731,0.012404,0.009635,0.013042,0.012510,0.025714,0.023613,0.019011,0.006258,0.014573,0.017685,0.013598,0.009643,0.010054,lie
0.052062,0.013762,2.846684,0.118494,0.160963,0.340263,0.012483,0.058843,-29.520066,2.558041,0.147121,0.082730,-0.073088,-0.078599,0.163997,-0.035178,0.042118,-0.247736,-0.016699,-0.067289,-0.070394,0.017182,0.008828,0.015917,0.016810,0.050048,0.018634,0.031095,0.001680,0.005820,0.012582,0.017681,0.013122,0.024390,0.047285,0.013736,0.499678,0.057183,0.047879,0.389328,0.009867,0.062025,4.527087,1.004454,0.722206,0.470072,0.390654,0.316505,0.361884,0.313389,0.239403,0.284283,0.255642,0.207197,0.184933,0.018190,0.014263,0.017876,0.021519,0.040759,0.019234,0.024519,0.002340,0.007989,0.014225,0.017415,0.020877,0.013354,lie
0.055451,0.026440,2.846069,0.123542,0.155064,0.362476,0.014043,0.068511,-28.819648,2.142181,0.080087,-0.129471,-0.369056,-0.017824,0.083642,-0.115667,-0.040563,-0.373540,-0.118129,-0.100023,-0.140379,0.026085,0.009785,0.035054,0.024252,0.024278,0.012715,0.016415,0.003018,0.009483,0.009735,0.013577,0.006434,0.021302,0.041352,0.027206,0.485131,0.053676,0.047900,0.313145,0.012300,0.059912,5.768753,0.981669,0.750523,0.533261,0.475959,0.416179,0.391582,0.360881,0.298703,0.298635,0.242940,0.220510,0.215008,0.026563,0.014528,0.034364,0.027238,0.024343,0.015551,0.016522,0.004298,0.011263,0.009956,0.013926,0.008544,0.012593,lie
0.057473,0.009464,2.891293,0.142076,0.174561,0.433107,0.011436,0.052813,-32.038039,2.312207,0.007604,-0.301873,-0.341012,0.408714,-0.212925,0.216512,-0.205575,-0.049211,-0.109972,-0.017644,-0.195597,0.032734,0.009313,0.027162,0.017889,0.024337,0.009476,0.017834,0.004458,0.008551,0.013225,0.018258,0.005818,0.020123,0.036818,0.013441,0.452184,0.057839,0.051715,0.366709,0.009408,0.049994,4.287423,0.927897,0.772161,0.444022,0.472913,0.421911,0.332577,0.305571,0.287533,0.231667,0.213900,0.206906,0.204879,0.035135,0.012831,0.025418,0.017855,0.020665,0.009232,0.015034,0.007508,0.010474,0.013866,0.020026,0.007919,0.011155,lie
0.062526,0.006083,2.920020,0.125944,0.158506,0.432486,0.012047,0.074103,-31.218913,2.068106,0.032433,-0.239191,-0.480532,0.496699,-0.355859,-0.198131,-0.281006,-0.129805,-0.016186,-0.158956,-0.148260,0.031654,0.005859,0.016858,0.011345,0.020005,0.015179,0.012180,0.005060,0.006107,0.014772,0.035270,0.007225,0.021966,0.046361,0.007864,0.453287,0.053048,0.044626,0.423565,0.009310,0.068973,4.365533,1.111982,0.661273,0.536898,0.443063,0.445492,0.359461,0.322436,0.292941,0.262367,0.265567,0.241683,0.246671,0.036652,0.008546,0.018408,0.014728,0.022844,0.019281,0.013344,0.009005,0.007776,0.015750,0.032338,0.009657,0.013417,lie
0.059018,0.004051,2.886152,0.149459,0.178546,0.416590,0.009305,0.053075,-33.456593,2.221499,0.054976,-0.376550,-0.223261,0.229403,-0.130750,0.201545,-0.204805,-0.029617,-0.096705,0.003888,-0.110748,0.021119,0.008089,0.024999,0.022597,0.027272,0.013023,0.022037,0.004150,0.008556,0.015964,0.014707,0.007446,0.019670,0.037486,0.005957,0.425598,0.062632,0.050335,0.336748,0.006061,0.055096,4.825510,0.840907,0.692692,0.535414,0.476142,0.390501,0.324098,0.343518,0.257983,0.252304,0.226599,0.222964,0.197214,0.021865,0.009976,0.022270,0.025914,0.021588,0.014688,0.021000,0.006334,0.010097,0.016821,0.014593,0.009104,0.009797,lie
0.067061,0.011499,2.843345,0.128620,0.151393,0.525889,0.010452,0.085851,-29.819023,1.913368,0.124663,0.067186,-0.373694,-0.139809,-0.075870,0.137017,-0.217881,0.151206,-0.512461,0.124164,-0.112966,0.024144,0.009803,0.030279,0.014189,0.017131,0.010322,0.014265,0.002492,0.014246,0.011288,0.011789,0.005675,0.017034,0.047061,0.013181,0.434785,0.053341,0.048321,0.424985,0.007612,0.074868,4.598082,1.173410,0.852734,0.507096,0.465363,0.380385,0.369982,0.333290,0.256587,0.280043,0.295773,0.219802,0.194242,0.024776,0.013401,0.027079,0.015915,0.017907,0.013999,0.013669,0.003367,0.015730,0.012798,0.012790,0.007774,0.010921,lie
