,s1,e1,s2,e2,s3,e3
1,9,33,41,59,78,83
2,140,157,157,184,184,237
4,62,77,100,107,146,154
5,156,195,199,246,254,294
6,75,97,102,126,150,167
7,174,227,243,294,313,363
8,80,123,130,170,170,217
9,109,131,131,145,145,157
10,216,223,230,249,325,335
11,159,218,306,357,361,404
12,123,242,242,357,364,460
13,164,184,199,249,379,419
14,79,86,92,102,114,124
15,157,200,200,250,257,288
16,87,108,115,128,151,173
17,435,496,496,551,572,632
18,157,254,268,344,376,468
19,87,146,153,195,202,261
20,81,108,108,130,133,143
21,151,189,183,274,274,337
22,137,224,253,357,374,496
23,60,78,97,116,138,154
24,82,122,147,204,209,273
